block,number,placement,code,coordX,coord-Y,expandX,expand-Y,placeholder,Blok Rumah,Spesifikasi
a03,8,,comv,6253.5,6465.5,72,144,violet,A03/08,36/72 (6x12)
a03,7,,comv,6325.5,6465.5,72,144,violet,A03/07,36/72 (6x12)
a03,6,,comv,6397.5,6465.5,72,144,violet,A03/06,36/72 (6x12)
a03,5,,comv,6469.5,6465.5,72,144,violet,A03/05,36/72 (6x12)
a03,4,,comv,6541.5,6465.5,72,144,violet,A03/04,36/72 (6x12)
a03,3,,comv,6613.5,6465.5,72,144,violet,A03/03,36/72 (6x12)
a03,2,,comv,6685.5,6465.5,72,144,violet,A03/02,36/72 (6x12)
a03,1,,comv36,6757.5,6465.5,108,144,darkviolet,A03/01,36/72 (6x12) +36
a03,47,vert,subv40,6133.5,6609.5,120,120,darkgreen,A03/47,27/60 (6x10) +40
a03,48,vert,subv,6253.5,6609.5,72,120,lightgreen,A03/48,27/60 (6x10)
a03,49,vert,subv,6325.5,6609.5,72,120,lightgreen,A03/49,27/60 (6x10)
a03,50,vert,subv,6397.5,6609.5,72,120,lightgreen,A03/50,27/60 (6x10)
a03,51,vert,subv,6469.5,6609.5,72,120,lightgreen,A03/51,27/60 (6x10)
a03,52,vert,subv,6541.5,6609.5,72,120,lightgreen,A03/52,27/60 (6x10)
a03,53,vert,subv,6613.5,6609.5,72,120,lightgreen,A03/53,27/60 (6x10)
a03,54,vert,subv,6685.5,6609.5,72,120,lightgreen,A03/54,27/60 (6x10)
a03,55,vert,subv,6757.5,6609.5,72,120,lightgreen,A03/55,27/60 (6x10)
a04,10,vert,subv40,6133.5,6813.5,120,120,darkgreen,A04/10,27/60 (6x10) +40
a04,9,vert,subv,6253.5,6813.5,72,120,lightgreen,A04/09,27/60 (6x10)
a04,8,vert,subv,6325.5,6813.5,72,120,lightgreen,A04/08,27/60 (6x10)
a04,7,vert,subv,6397.5,6813.5,72,120,lightgreen,A04/07,27/60 (6x10)
a04,6,vert,subv,6469.5,6813.5,72,120,lightgreen,A04/06,27/60 (6x10)
a04,5,vert,subv30,6541.5,6813.5,108,120,limegreen,A04/05,27/60 (6x10) +30
a04,47,vert,subv40,6133.5,6933.5,120,120,darkgreen,A04/47,27/60 (6x10) +40
a04,48,vert,subv,6253.5,6933.5,72,120,lightgreen,A04/48,27/60 (6x10)
a04,49,vert,subv,6325.5,6933.5,72,120,lightgreen,A04/49,27/60 (6x10)
a04,50,vert,subv,6397.5,6933.5,72,120,lightgreen,A04/50,27/60 (6x10)
a04,51,vert,subv,6469.5,6933.5,72,120,lightgreen,A04/51,27/60 (6x10)
a04,52,vert,subv30,6541.5,6933.5,108,120,limegreen,A04/52,27/60 (6x10) +30
a05,10,vert,subv40,6133.5,7137.5,120,120,darkgreen,A05/10,27/60 (6x10) +40
a05,9,vert,subv,6253.5,7137.5,72,120,lightgreen,A05/09,27/60 (6x10)
a05,8,vert,subv,6325.5,7137.5,72,120,lightgreen,A05/08,27/60 (6x10)
a05,7,vert,subv,6397.5,7137.5,72,120,lightgreen,A05/07,27/60 (6x10)
a05,6,vert,subv,6469.5,7137.5,72,120,lightgreen,A05/06,27/60 (6x10)
a05,5,vert,subv,6541.5,7137.5,72,120,lightgreen,A05/05,27/60 (6x10)
a05,4,vert,subv,6613.5,7137.5,72,120,lightgreen,A05/04,27/60 (6x10)
a05,47,vert,subv40,6133.5,7257.5,120,120,darkgreen,A05/47,27/60 (6x10) +40
a05,48,vert,subv,6253.5,7257.5,72,120,lightgreen,A05/48,27/60 (6x10)
a05,49,vert,subv,6325.5,7257.5,72,120,lightgreen,A05/49,27/60 (6x10)
a05,50,vert,subv,6397.5,7257.5,72,120,lightgreen,A05/50,27/60 (6x10)
a05,51,vert,subv,6469.5,7257.5,72,120,lightgreen,A05/51,27/60 (6x10)
a05,52,vert,subv,6541.5,7257.5,72,120,lightgreen,A05/52,27/60 (6x10)
a05,53,vert,subv,6613.5,7257.5,72,120,lightgreen,A05/53,27/60 (6x10)
a06,10,vert,subv40,6133.5,7461.5,120,120,darkgreen,A06/10,27/60 (6x10) +40
a06,9,vert,subv,6253.5,7461.5,72,120,lightgreen,A06/09,27/60 (6x10)
