block,number,placement,code,coordX,coord-Y,expandX,expand-Y,status,Blok Rumah,Spesifikasi,Hook
a3,1,vert,comv36,6693.5,5746.5,108,144,red,A3/01,36/72 (6x12) +36,V
a3,2,vert,comv,6621.5,5746.5,72,144,black,A3/02,36/72 (6x12),
a3,3,vert,comv,6549.5,5746.5,72,144,green,A3/03,36/72 (6x12),
a3,4,vert,comv,6477.5,5746.5,72,144,yellow,A3/04,36/72 (6x12),
a3,5,vert,comv,6405.5,5746.5,72,144,green,A3/05,36/72 (6x12),
a3,6,vert,comv,6333.5,5746.5,72,144,green,A3/06,36/72 (6x12),
a3,7,vert,comv,6261.5,5746.5,72,144,red,A3/07,36/72 (6x12),
a3,8,vert,comv,6189.5,5746.5,72,144,red,A3/08,36/72 (6x12),
a3,47,vert,subv40,6069.5,5890.5,120,120,blue,A3/47,27/60 (6x10) +40,V
a3,48,vert,subv,6189.5,5890.5,72,120,green,A3/48,27/60 (6x10),
a3,49,vert,subv,6261.5,5890.5,72,120,red,A3/49,27/60 (6x10),
a3,50,vert,subv,6333.5,5890.5,72,120,red,A3/50,27/60 (6x10),
a3,51,vert,subv,6405.5,5890.5,72,120,yellow,A3/51,27/60 (6x10),
a3,52,vert,subv,6477.5,5890.5,72,120,yellow,A3/52,27/60 (6x10),
a3,53,vert,subv,6549.5,5890.5,72,120,black,A3/53,27/60 (6x10),
a3,54,vert,subv,6621.5,5890.5,72,120,blue,A3/54,27/60 (6x10),
a3,55,vert,subv,6693.5,5890.5,72,120,black,A3/55,27/60 (6x10),
a4,5,vert,subv30,6477.5,6094.5,108,120,blue,A4/05,27/60 (6x10) +30,V
a4,6,vert,subv,6405.5,6094.5,72,120,red,A4/06,27/60 (6x10),
a4,7,vert,subv,6333.5,6094.5,72,120,red,A4/07,27/60 (6x10),
a4,8,vert,subv,6261.5,6094.5,72,120,red,A4/08,27/60 (6x10),
a4,9,vert,subv,6189.5,6094.5,72,120,red,A4/09,27/60 (6x10),
a4,10,vert,subv40,6069.5,6094.5,120,120,green,A4/10,27/60 (6x10) +40,V
a4,47,vert,subv40,6069.5,6214.5,120,120,green,A4/47,27/60 (6x10) +40,V
a4,48,vert,subv,6189.5,6214.5,72,120,red,A4/48,27/60 (6x10),
a4,49,vert,subv,6261.5,6214.5,72,120,red,A4/49,27/60 (6x10),
a4,50,vert,subv,6333.5,6214.5,72,120,red,A4/50,27/60 (6x10),
a4,51,vert,subv,6405.5,6214.5,72,120,red,A4/51,27/60 (6x10),
a4,52,vert,subv30,6477.5,6214.5,108,120,blue,A4/52,27/60 (6x10) +30,V
